'gx:1, gy:1, gz:1568, bx:32, by:1, bz:1, ' 
'gx:1, gy:2, gz:784, bx:32, by:1, bz:1, ' 
'gx:1, gy:4, gz:392, bx:32, by:1, bz:1, ' 
'gx:1, gy:7, gz:224, bx:32, by:1, bz:1, ' 
'gx:1, gy:8, gz:196, bx:32, by:1, bz:1, ' 
'gx:1, gy:14, gz:112, bx:32, by:1, bz:1, ' 
'gx:1, gy:16, gz:98, bx:32, by:1, bz:1, ' 
'gx:1, gy:28, gz:56, bx:32, by:1, bz:1, ' 
'gx:1, gy:32, gz:49, bx:32, by:1, bz:1, ' 
'gx:1, gy:49, gz:32, bx:32, by:1, bz:1, ' 
'gx:1, gy:56, gz:28, bx:32, by:1, bz:1, ' 
'gx:1, gy:98, gz:16, bx:32, by:1, bz:1, ' 
'gx:1, gy:112, gz:14, bx:32, by:1, bz:1, ' 
'gx:1, gy:196, gz:8, bx:32, by:1, bz:1, ' 
'gx:1, gy:224, gz:7, bx:32, by:1, bz:1, ' 
'gx:1, gy:392, gz:4, bx:32, by:1, bz:1, ' 
'gx:1, gy:784, gz:2, bx:32, by:1, bz:1, ' 
'gx:1, gy:1568, gz:1, bx:32, by:1, bz:1, ' 
'gx:2, gy:1, gz:784, bx:32, by:1, bz:1, ' 
'gx:2, gy:2, gz:392, bx:32, by:1, bz:1, ' 
'gx:2, gy:4, gz:196, bx:32, by:1, bz:1, ' 
'gx:2, gy:7, gz:112, bx:32, by:1, bz:1, ' 
'gx:2, gy:8, gz:98, bx:32, by:1, bz:1, ' 
'gx:2, gy:14, gz:56, bx:32, by:1, bz:1, ' 
'gx:2, gy:16, gz:49, bx:32, by:1, bz:1, ' 
'gx:2, gy:28, gz:28, bx:32, by:1, bz:1, ' 
'gx:2, gy:49, gz:16, bx:32, by:1, bz:1, ' 
'gx:2, gy:56, gz:14, bx:32, by:1, bz:1, ' 
'gx:2, gy:98, gz:8, bx:32, by:1, bz:1, ' 
'gx:2, gy:112, gz:7, bx:32, by:1, bz:1, ' 
'gx:2, gy:196, gz:4, bx:32, by:1, bz:1, ' 
'gx:2, gy:392, gz:2, bx:32, by:1, bz:1, ' 
'gx:2, gy:784, gz:1, bx:32, by:1, bz:1, ' 
'gx:4, gy:1, gz:392, bx:32, by:1, bz:1, ' 
'gx:4, gy:2, gz:196, bx:32, by:1, bz:1, ' 
'gx:4, gy:4, gz:98, bx:32, by:1, bz:1, ' 
'gx:4, gy:7, gz:56, bx:32, by:1, bz:1, ' 
'gx:4, gy:8, gz:49, bx:32, by:1, bz:1, ' 
'gx:4, gy:14, gz:28, bx:32, by:1, bz:1, ' 
'gx:4, gy:28, gz:14, bx:32, by:1, bz:1, ' 
'gx:4, gy:49, gz:8, bx:32, by:1, bz:1, ' 
'gx:4, gy:56, gz:7, bx:32, by:1, bz:1, ' 
'gx:4, gy:98, gz:4, bx:32, by:1, bz:1, ' 
'gx:4, gy:196, gz:2, bx:32, by:1, bz:1, ' 
'gx:4, gy:392, gz:1, bx:32, by:1, bz:1, ' 
'gx:7, gy:1, gz:224, bx:32, by:1, bz:1, ' 
