'gx:1, gy:1, gz:128, bx:32, by:1, bz:1, ' 
'gx:1, gy:2, gz:64, bx:32, by:1, bz:1, ' 
'gx:1, gy:4, gz:32, bx:32, by:1, bz:1, ' 
'gx:1, gy:8, gz:16, bx:32, by:1, bz:1, ' 
'gx:1, gy:16, gz:8, bx:32, by:1, bz:1, ' 
'gx:1, gy:32, gz:4, bx:32, by:1, bz:1, ' 
'gx:1, gy:64, gz:2, bx:32, by:1, bz:1, ' 
'gx:1, gy:128, gz:1, bx:32, by:1, bz:1, ' 
'gx:2, gy:1, gz:64, bx:32, by:1, bz:1, ' 
'gx:2, gy:2, gz:32, bx:32, by:1, bz:1, ' 
'gx:2, gy:4, gz:16, bx:32, by:1, bz:1, ' 
'gx:2, gy:8, gz:8, bx:32, by:1, bz:1, ' 
'gx:2, gy:16, gz:4, bx:32, by:1, bz:1, ' 
'gx:2, gy:32, gz:2, bx:32, by:1, bz:1, ' 
'gx:2, gy:64, gz:1, bx:32, by:1, bz:1, ' 
'gx:4, gy:1, gz:32, bx:32, by:1, bz:1, ' 
'gx:4, gy:2, gz:16, bx:32, by:1, bz:1, ' 
'gx:4, gy:4, gz:8, bx:32, by:1, bz:1, ' 
'gx:4, gy:8, gz:4, bx:32, by:1, bz:1, ' 
'gx:4, gy:16, gz:2, bx:32, by:1, bz:1, ' 
'gx:4, gy:32, gz:1, bx:32, by:1, bz:1, ' 
'gx:8, gy:1, gz:16, bx:32, by:1, bz:1, ' 
'gx:8, gy:2, gz:8, bx:32, by:1, bz:1, ' 
'gx:8, gy:4, gz:4, bx:32, by:1, bz:1, ' 
'gx:8, gy:8, gz:2, bx:32, by:1, bz:1, ' 
'gx:8, gy:16, gz:1, bx:32, by:1, bz:1, ' 
'gx:16, gy:1, gz:8, bx:32, by:1, bz:1, ' 
'gx:16, gy:2, gz:4, bx:32, by:1, bz:1, ' 
'gx:16, gy:4, gz:2, bx:32, by:1, bz:1, ' 
'gx:16, gy:8, gz:1, bx:32, by:1, bz:1, ' 
'gx:32, gy:1, gz:4, bx:32, by:1, bz:1, ' 
'gx:32, gy:2, gz:2, bx:32, by:1, bz:1, ' 
'gx:32, gy:4, gz:1, bx:32, by:1, bz:1, ' 
'gx:64, gy:1, gz:2, bx:32, by:1, bz:1, ' 
'gx:64, gy:2, gz:1, bx:32, by:1, bz:1, ' 
'gx:128, gy:1, gz:1, bx:32, by:1, bz:1, ' 
'gx:1, gy:1, gz:64, bx:64, by:1, bz:1, ' 
'gx:1, gy:2, gz:32, bx:64, by:1, bz:1, ' 
'gx:1, gy:4, gz:16, bx:64, by:1, bz:1, ' 
'gx:1, gy:8, gz:8, bx:64, by:1, bz:1, ' 
'gx:1, gy:16, gz:4, bx:64, by:1, bz:1, ' 
'gx:1, gy:32, gz:2, bx:64, by:1, bz:1, ' 
'gx:1, gy:64, gz:1, bx:64, by:1, bz:1, ' 
'gx:2, gy:1, gz:32, bx:64, by:1, bz:1, ' 
'gx:2, gy:2, gz:16, bx:64, by:1, bz:1, ' 
'gx:2, gy:4, gz:8, bx:64, by:1, bz:1, ' 
'gx:2, gy:8, gz:4, bx:64, by:1, bz:1, ' 
'gx:2, gy:16, gz:2, bx:64, by:1, bz:1, ' 
'gx:2, gy:32, gz:1, bx:64, by:1, bz:1, ' 
'gx:4, gy:1, gz:16, bx:64, by:1, bz:1, ' 
'gx:4, gy:2, gz:8, bx:64, by:1, bz:1, ' 
'gx:4, gy:4, gz:4, bx:64, by:1, bz:1, ' 
'gx:4, gy:8, gz:2, bx:64, by:1, bz:1, ' 
'gx:4, gy:16, gz:1, bx:64, by:1, bz:1, ' 
'gx:8, gy:1, gz:8, bx:64, by:1, bz:1, ' 
'gx:8, gy:2, gz:4, bx:64, by:1, bz:1, ' 
'gx:8, gy:4, gz:2, bx:64, by:1, bz:1, ' 
'gx:8, gy:8, gz:1, bx:64, by:1, bz:1, ' 
