Kernel,gx,gy,gz,bx,by,bz,nx,ny,nz,gpuId,occupancy
3,1,112,2,2,7,16,224,224,224,0,0.853262
2,8,7,1,8,4,28,224,224,224,0,0.853958
0,1,56,2,1,14,32,224,224,224,0,0.852775
3,112,1,2,16,14,1,224,224,224,0,0.850212
0,14,1,16,7,2,16,224,224,224,0,0.852425
0,56,1,1,28,2,16,224,224,224,0,0.486417
1,2,196,4,4,2,4,224,224,224,0,0.835256
2,8,1,7,4,28,8,224,224,224,0,0.469685
2,28,4,7,4,4,4,224,224,224,0,0.839372
0,1,8,49,1,4,32,224,224,224,0,0.853367
2,1,2,196,2,16,4,224,224,224,0,0.852919
2,2,28,7,2,8,8,224,224,224,0,0.852856
3,2,392,2,2,1,16,224,224,224,0,0.871861
2,1,1,56,2,8,56,224,224,224,0,0.871724
3,28,4,1,2,14,16,224,224,224,0,0.839706
0,8,7,1,56,16,1,224,224,224,0,0.871259
0,14,1,4,2,8,56,224,224,224,0,0.871698
0,4,14,1,4,32,7,224,224,224,0,0.871772
2,1,56,2,1,14,32,224,224,224,0,0.469672
1,1,56,2,1,14,32,224,224,224,0,0.871026
1,7,16,2,2,16,7,224,224,224,0,0.767091
3,1,56,2,1,14,32,224,224,224,0,0.871544
1,8,1,49,1,64,2,224,224,224,0,0.871292
2,14,2,14,64,1,2,224,224,224,0,0.871071
1,14,4,4,7,32,1,224,224,224,0,0.871501
1,1,8,28,1,7,32,224,224,224,0,0.871617
3,14,7,16,2,1,16,224,224,224,0,0.871783
3,98,2,2,4,4,8,224,224,224,0,0.87174
2,8,7,1,14,4,16,224,224,224,0,0.487782
0,4,2,98,1,16,4,224,224,224,0,0.871689
1,1,1,56,128,1,7,224,224,224,0,0.871881
1,2,1,28,4,8,28,224,224,224,0,0.871031
1,56,7,1,64,2,1,224,224,224,0,0.871433
1,14,8,1,56,1,8,224,224,224,0,0.870994
1,4,2,7,112,4,2,224,224,224,0,0.87142
1,7,1,28,16,8,2,224,224,224,0,0.879419
1,1,16,7,2,56,4,224,224,224,0,0.871513
1,7,1,224,1,16,2,224,224,224,0,0.871801
1,8,14,7,16,2,2,224,224,224,0,0.850708
1,49,2,4,128,1,1,224,224,224,0,0.87135
1,49,4,2,1,64,2,224,224,224,0,0.871423
1,14,4,2,14,2,16,224,224,224,0,0.871194
3,49,2,4,128,1,1,224,224,224,0,0.870998
2,49,2,4,128,1,1,224,224,224,0,0.915737
1,7,8,2,14,32,1,224,224,224,0,0.87148
1,1,98,1,8,1,64,224,224,224,0,0.855813
2,1,98,1,8,1,64,224,224,224,0,0.483827
1,8,14,1,16,14,2,224,224,224,0,0.87171
1,14,4,2,224,2,1,224,224,224,0,0.871307
3,1,98,1,8,1,64,224,224,224,0,0.380995
