Kernel,gx,gy,gz,bx,by,bz,nx,ny,nz,gpuId,occupancy
0,200,4,1,32,4,1,320,320,320,0,0.83539
1,2,800,1,4,8,2,320,320,320,0,0.931229
0,32,4,1,40,1,20,320,320,320,0,0.709215
0,1,128,1,8,20,5,320,320,320,0,0.707468
1,2,50,4,4,64,1,320,320,320,0,0.955068
1,8,10,10,1,32,4,320,320,320,0,0.937485
1,5,5,8,128,4,1,320,320,320,0,0.984004
1,5,40,1,128,1,4,320,320,320,0,0.984293
1,4,2,40,64,1,5,320,320,320,0,0.90397
2,1,40,4,4,80,2,320,320,320,0,0.8778
3,1,10,20,8,16,4,320,320,320,0,0.763442
1,8,2,8,4,25,8,320,320,320,0,0.975957
1,10,20,1,16,4,8,320,320,320,0,0.897813
1,16,10,2,5,64,1,320,320,320,0,0.938132
1,200,2,4,2,8,4,320,320,320,0,0.853025
2,2,1,64,25,32,1,320,320,320,0,0.913283
0,80,2,1,1,32,20,320,320,320,0,0.910809
3,1,16,50,16,2,4,320,320,320,0,0.912255
3,25,8,4,2,64,1,320,320,320,0,0.879318
1,40,1,8,16,10,2,320,320,320,0,0.977306
0,5,40,1,128,1,4,320,320,320,0,0.90464
1,4,5,10,32,16,1,320,320,320,0,0.760169
1,40,1,4,32,5,4,320,320,320,0,0.923214
0,25,64,1,8,4,2,320,320,320,0,0.982694
1,4,5,80,32,1,2,320,320,320,0,0.918266
1,100,8,1,1,16,8,320,320,320,0,0.492839
1,20,1,8,16,2,20,320,320,320,0,0.929164
2,10,40,1,64,2,2,320,320,320,0,0.927129
1,8,16,25,8,1,4,320,320,320,0,0.87917
1,20,2,4,16,4,10,320,320,320,0,0.910886
1,80,10,2,32,1,2,320,320,320,0,0.91372
0,2,5,20,1,8,64,320,320,320,0,0.852416
1,1,80,8,5,4,8,320,320,320,0,0.898162
3,2,200,2,1,16,8,320,320,320,0,0.879143
0,1,1,160,128,5,1,320,320,320,0,0.877258
2,5,40,1,128,1,4,320,320,320,0,0.913381
1,32,5,4,20,4,2,320,320,320,0,0.914431
3,5,40,1,128,1,4,320,320,320,0,0.897881
3,1,20,32,2,16,5,320,320,320,0,0.906928
1,10,16,1,2,10,32,320,320,320,0,0.911751
1,10,4,4,10,16,4,320,320,320,0,0.910321
1,5,4,32,4,1,40,320,320,320,0,0.489892
1,160,1,2,32,5,2,320,320,320,0,0.7633
3,1,80,10,1,4,32,320,320,320,0,0.96447
2,10,4,80,1,4,8,320,320,320,0,0.902091
1,1,64,5,10,32,1,320,320,320,0,0.763336
2,1,2,80,5,128,1,320,320,320,0,0.96598
2,80,1,2,16,4,10,320,320,320,0,0.975998
1,40,1,80,8,4,1,320,320,320,0,0.492579
1,2,4,16,1,50,16,320,320,320,0,0.963022
1,1,50,2,4,32,8,320,320,320,0,0.950192
1,2,64,5,20,4,2,320,320,320,0,0.906796
1,1,32,4,160,1,5,320,320,320,0,0.855963
1,5,5,8,64,8,1,320,320,320,0,0.938434
1,64,2,25,2,4,4,320,320,320,0,0.897576
1,20,4,5,4,1,64,320,320,320,0,0.986193
1,4,5,20,2,2,64,320,320,320,0,0.763147
3,1,200,4,2,8,8,320,320,320,0,0.944093
2,1,2,320,2,4,20,320,320,320,0,0.951023
3,4,1,40,320,1,2,320,320,320,0,0.49413
0,4,100,2,32,4,1,320,320,320,0,0.975326
1,20,40,2,32,1,2,320,320,320,0,0.92048
1,20,32,1,2,20,4,320,320,320,0,0.763381
1,4,50,1,1,128,4,320,320,320,0,0.91267
1,16,1,8,100,2,4,320,320,320,0,0.894267
1,160,5,1,16,1,8,320,320,320,0,0.95655
1,1,10,40,2,4,32,320,320,320,0,0.984476
1,80,40,1,8,2,2,320,320,320,0,0.491728
1,80,10,1,1,32,4,320,320,320,0,0.907786
1,5,4,80,1,2,32,320,320,320,0,0.984878
1,1,32,4,80,2,5,320,320,320,0,0.881944
1,80,2,2,5,4,16,320,320,320,0,0.930292
1,40,1,16,2,8,10,320,320,320,0,0.763463
1,4,25,4,32,1,8,320,320,320,0,0.95636
1,5,20,2,1,8,64,320,320,320,0,0.900739
1,1,800,4,4,4,2,320,320,320,0,0.898456
1,1,32,10,4,4,20,320,320,320,0,0.977843
1,20,10,1,2,64,4,320,320,320,0,0.962874
0,4,50,1,1,128,4,320,320,320,0,0.901683
1,2,1,64,1,20,40,320,320,320,0,0.909942
1,1,50,8,64,2,2,320,320,320,0,0.901626
1,1,20,32,16,10,1,320,320,320,0,0.98065
1,320,1,2,8,1,20,320,320,320,0,0.936398
1,1,20,5,1,512,2,320,320,320,0,0.705122
1,20,2,10,1,128,2,320,320,320,0,0.91194
2,32,2,10,1,20,8,320,320,320,0,0.949222
1,1,10,64,2,20,4,320,320,320,0,0.76339
1,16,1,8,10,8,10,320,320,320,0,0.92574
2,4,50,1,1,128,4,320,320,320,0,0.895553
1,80,4,2,32,1,5,320,320,320,0,0.945894
1,160,2,1,4,80,1,320,320,320,0,0.900063
1,2,1,100,2,256,1,320,320,320,0,0.488871
1,40,4,10,4,2,8,320,320,320,0,0.763453
0,1,8,16,40,5,4,320,320,320,0,0.896214
3,160,10,1,32,1,2,320,320,320,0,0.908667
1,100,1,8,16,2,4,320,320,320,0,0.856908
1,8,4,4,8,5,20,320,320,320,0,0.913485
1,1,160,1,2,40,8,320,320,320,0,0.89705
1,2,32,10,5,2,16,320,320,320,0,0.90932
1,4,40,5,8,4,4,320,320,320,0,0.939885
1,2,2,40,1,80,8,320,320,320,0,0.911483
